X,Y,Head 1
701051.6429,7536552.218,567.2190552
701151.5,7536552.218,571.6663818
701251.3571,7536552.218,575.0950317
701351.2143,7536552.218,578.2324219
701451.0714,7536552.218,578.34198
701550.9286,7536552.218,578.742981
701650.7857,7536552.218,577.5155029
699853.3571,7536452.619,581.4069824
699953.2143,7536452.619,581.3462524
700053.0714,7536452.619,581.2227173
700152.9286,7536452.619,580.7644653
700252.7857,7536452.619,580.4682007
700352.6429,7536452.619,580.1381226
700452.5,7536452.619,579.2426758
700552.3571,7536452.619,577.9813843
700652.2143,7536452.619,575.2098389
700752.0714,7536452.619,571.8598633
700851.9286,7536452.619,567.5429688
700951.7857,7536452.619,548.3826294
701051.6429,7536452.619,553.8146973
701151.5,7536452.619,567.2846069
701251.3571,7536452.619,571.9658813
701351.2143,7536452.619,575.5095215
701451.0714,7536452.619,576.1556396
701550.9286,7536452.619,576.0108643
701650.7857,7536452.619,574.5442505
701750.6429,7536452.619,576.2363281
701850.5,7536452.619,575.6016846
699853.3571,7536353.02,581.5263672
699953.2143,7536353.02,581.4568481
700053.0714,7536353.02,581.3771362
700152.9286,7536353.02,581.2258911
700252.7857,7536353.02,580.7539063
700352.6429,7536353.02,580.4476318
700452.5,7536353.02,579.8897705
700552.3571,7536353.02,578.6401978
700652.2143,7536353.02,575.6561279
700752.0714,7536353.02,572.4976196
700851.9286,7536353.02,568.9934082
700951.7857,7536353.02,563.7549438
701051.6429,7536353.02,547.6864624
701151.5,7536353.02,560.5619507
701251.3571,7536353.02,567.8590088
701351.2143,7536353.02,571.7884521
701451.0714,7536353.02,572.7672119
701550.9286,7536353.02,573.0973511
701650.7857,7536353.02,572.0353394
701750.6429,7536353.02,574.77771
701850.5,7536353.02,574.958374
699853.3571,7536253.422,581.8093262
699953.2143,7536253.422,581.6576538
700053.0714,7536253.422,581.5499268
700152.9286,7536253.422,581.3914795
700252.7857,7536253.422,581.2106934
700352.6429,7536253.422,580.7927856
700452.5,7536253.422,580.0547485
700552.3571,7536253.422,579.1802368
700652.2143,7536253.422,575.4127197
700752.0714,7536253.422,571.9620972
700851.9286,7536253.422,568.206665
700951.7857,7536253.422,563.4415894
701051.6429,7536253.422,541.7416992
701151.5,7536253.422,551.6381836
701251.3571,7536253.422,562.6643677
701351.2143,7536253.422,566.2194214
701451.0714,7536253.422,568.7837524
701550.9286,7536253.422,568.553772
701650.7857,7536253.422,569.449707
701750.6429,7536253.422,571.3335571
701850.5,7536253.422,574.1339111
699853.3571,7536153.823,582.227478
699953.2143,7536153.823,581.8613281
700053.0714,7536153.823,581.7217407
700152.9286,7536153.823,581.6897583
700252.7857,7536153.823,581.4993286
700352.6429,7536153.823,581.1970825
700452.5,7536153.823,580.2971802
700552.3571,7536153.823,579.3062744
700652.2143,7536153.823,574.4938354
700752.0714,7536153.823,568.5103149
700851.9286,7536153.823,561.3925171
700951.7857,7536153.823,553.6168823
701051.6429,7536153.823,541.5482178
701151.5,7536153.823,539.2984009
701251.3571,7536153.823,546.7555542
701351.2143,7536153.823,560.248291
701451.0714,7536153.823,563.7328491
701550.9286,7536153.823,565.6166382
701650.7857,7536153.823,567.1934204
701750.6429,7536153.823,569.541748
701850.5,7536153.823,572.8807983
701950.3571,7536153.823,572.0517578
699853.3571,7536054.224,582.6194458
699953.2143,7536054.224,582.3433838
700053.0714,7536054.224,582.1445923
700152.9286,7536054.224,582.0426636
700252.7857,7536054.224,581.8137207
700352.6429,7536054.224,581.8297119
700452.5,7536054.224,580.9157715
700552.3571,7536054.224,579.5682373
700652.2143,7536054.224,571.2532349
700752.0714,7536054.224,565.7665405
700851.9286,7536054.224,567.0299072
700951.7857,7536054.224,564.5951538
701051.6429,7536054.224,561.7167358
701151.5,7536054.224,558.7427979
701251.3571,7536054.224,537.1502075
701351.2143,7536054.224,543.1315308
701451.0714,7536054.224,559.7183228
701550.9286,7536054.224,562.939209
701650.7857,7536054.224,565.0745239
701750.6429,7536054.224,567.5175171
701850.5,7536054.224,567.7985229
701950.3571,7536054.224,570.1341553
699653.6429,7535954.625,584.3843994
699753.5,7535954.625,584.0628052
699853.3571,7535954.625,583.4313354
699953.2143,7535954.625,582.9191284
700053.0714,7535954.625,582.8495483
700152.9286,7535954.625,582.5957031
700252.7857,7535954.625,582.4234009
700352.6429,7535954.625,582.2132568
700452.5,7535954.625,581.6647949
700552.3571,7535954.625,580.2727661
700652.2143,7535954.625,576.2647705
700752.0714,7535954.625,572.723877
700851.9286,7535954.625,570.8371582
700951.7857,7535954.625,568.0150146
701051.6429,7535954.625,564.8778076
701151.5,7535954.625,561.1849365
701251.3571,7535954.625,556.8800049
701351.2143,7535954.625,536.505127
701451.0714,7535954.625,556.7665405
701550.9286,7535954.625,560.4984131
701650.7857,7535954.625,562.7161865
701750.6429,7535954.625,564.9110107
701850.5,7535954.625,566.4718628
701950.3571,7535954.625,570.1740723
699553.7857,7535855.026,585.0172729
699653.6429,7535855.026,584.7144165
699753.5,7535855.026,584.2824097
699853.3571,7535855.026,583.8001709
699953.2143,7535855.026,583.3417358
700053.0714,7535855.026,583.2442627
700152.9286,7535855.026,583.0057373
700252.7857,7535855.026,582.7278442
700352.6429,7535855.026,582.4537964
700452.5,7535855.026,581.9413452
700552.3571,7535855.026,581.3563232
700652.2143,7535855.026,581.4350586
700752.0714,7535855.026,581.7409668
700851.9286,7535855.026,579.2982178
700951.7857,7535855.026,571.6931152
701051.6429,7535855.026,567.1587524
701151.5,7535855.026,562.1347046
701251.3571,7535855.026,557.3354492
701351.2143,7535855.026,535.7696533
701451.0714,7535855.026,543.6752319
701550.9286,7535855.026,556.484314
701650.7857,7535855.026,559.96698
701750.6429,7535855.026,562.0869751
701850.5,7535855.026,563.8150024
701950.3571,7535855.026,564.7022095
702050.2143,7535855.026,566.6554565
699553.7857,7535755.427,585.5407715
699653.6429,7535755.427,585.1947632
699753.5,7535755.427,584.7127686
699853.3571,7535755.427,584.2515869
699953.2143,7535755.427,583.8201904
700053.0714,7535755.427,583.4353638
700152.9286,7535755.427,583.1306763
700252.7857,7535755.427,582.7880859
700352.6429,7535755.427,582.4717407
700452.5,7535755.427,582.0095215
700552.3571,7535755.427,581.5413208
700652.2143,7535755.427,581.2435303
700752.0714,7535755.427,580.8660889
700851.9286,7535755.427,580.5008545
700951.7857,7535755.427,578.6599731
701051.6429,7535755.427,573.6200562
701151.5,7535755.427,563.7573242
701251.3571,7535755.427,558.2825317
701351.2143,7535755.427,553.8859253
701451.0714,7535755.427,538.2662964
701550.9286,7535755.427,548.3339844
701650.7857,7535755.427,556.8069458
701750.6429,7535755.427,559.4837646
701850.5,7535755.427,560.8791504
701950.3571,7535755.427,561.8405151
702050.2143,7535755.427,566.0014038
702150.0714,7535755.427,566.0705566
699453.9286,7535655.828,587.0157471
699553.7857,7535655.828,586.3034668
699653.6429,7535655.828,585.7408447
699753.5,7535655.828,585.1623535
699853.3571,7535655.828,584.6759644
