id_sacre,lon,lat
P493,-48.98445449,-22.31364855
P494,-48.98340296,-22.31354518
P496,-49.05985387,-22.32145871
P497,-49.0909993,-22.36412344
P498,-49.05479242,-22.36131269
P500,-49.04137996,-22.3156557
P503,-49.09512082,-22.32289749
P504,-49.0486434,-22.31846147
P505,-49.06055838,-22.3293327
P506,-49.09031856,-22.34603157
P507,-49.05334509,-22.32753945
P510,-49.09436432,-22.36889955
P511,-49.04387106,-22.3159567
P512,-49.07105105,-22.32485455
P513,-49.11738293,-22.34019856
P514,-49.09804536,-22.31558992
P515,-49.10601019,-22.29196857
P516,-49.02588306,-22.32021771
P519,-49.05334509,-22.32753945
P520,-48.9796286,-22.31246874
P521,-49.03037584,-22.37760613
P522,-49.06784179,-22.31075361
P523,-49.02437219,-22.31426635
P524,-49.01369077,-22.31225752
P525,-49.0584202,-22.31985217
P526,-49.05848922,-22.31956402
P527,-49.02959982,-22.33891066
P528,-49.04630033,-22.33421846
P529,-49.09266882,-22.32505406
P530,-49.07066813,-22.33713838
P532,-49.06801234,-22.33741376
P533,-49.06003475,-22.31988956
P535,-49.03160925,-22.33586477
P536,-48.98458126,-22.3144177
P537,-49.05139189,-22.30624017
P538,-49.06528611,-22.27765326
P539,-48.98104608,-22.32551697
P540,-49.05299595,-22.33108423
P541,-49.05363294,-22.32344307
P542,-49.05138243,-22.36049505
P543,-49.09628399,-22.36403659
P545,-49.00801471,-22.32541727
P546,-49.06213256,-22.32541424
P547,-49.0465173,-22.32721346
P548,-49.06234021,-22.31122075
P550,-49.06575607,-22.33800091
P551,-49.14785507,-22.2624872
P552,-49.14455679,-22.26244955
P553,-49.14463594,-22.26380509
P554,-49.05625351,-22.32639137
P555,-49.04909963,-22.3274613
P556,-49.06430411,-22.342553
P558,-49.12224946,-22.3054506
P559,-49.07091155,-22.29888788
P560,-49.04436313,-22.31289228
P561,-49.07191848,-22.30584436
P562,-49.07781822,-22.2897406
P563,-49.2118969,-22.1855369
P564,-49.03421126,-22.31338357
P565,-49.06971491,-22.29896395
P567,-49.05957277,-22.32248482
P568,-49.06056828,-22.32973919
P569,-49.10125006,-22.30368894
P570,-49.10372587,-22.35652017
P571,-49.08448344,-22.31189928
P572,-49.03260171,-22.31119675
P573,-49.06904573,-22.33349781
P574,-49.06983555,-22.32329369
P575,-49.0212774,-22.30970439
P577,-49.02267011,-22.31004647
P578,-49.03040894,-22.31239826
P579,-49.03347074,-22.30915739
P581,-49.02038749,-22.30949486
P582,-49.0295771,-22.31219852
P583,-49.06720931,-22.34264188
P584,-49.07074347,-22.33526093
P585,-49.07032076,-22.31532549
P586,-49.05006622,-22.35684897
P588,-48.98271845,-22.31876515
P589,-49.06485944,-22.3214463
P590,-49.0584728,-22.32657149
P591,-49.08015162,-22.32710069
P592,-49.03088696,-22.31160037
P593,-49.09632517,-22.36450667
P594,-49.04541181,-22.34593827
P595,-49.03738778,-22.3669091
P596,-49.11638192,-22.32416691
P597,-49.04413352,-22.35684061
P598,-49.04384236,-22.3560695
P599,-49.05515478,-22.32533968
P600,-49.06551319,-22.31478958
P601,-49.05042963,-22.34001157
P603,-49.04375939,-22.35165263
P604,-49.05098005,-22.34315176
P605,-49.07061605,-22.28443545
P606,-49.07091747,-22.28509826
P608,-49.07462016,-22.32503028
P610,-49.02771978,-22.38225147
P612,-49.02397818,-22.3811041
P615,-49.0716618,-22.38341351
P622,-49.08120067,-22.38317477
P624,-48.99551616,-22.37380061
P633,-49.1548021,-22.33192343
P634,-49.09416889,-22.35072769
P635,-49.06950779,-22.31155911
P637,-49.07345074,-22.32176538
P638,-49.06943743,-22.3321208
P639,-49.06680027,-22.34041549
P640,-49.0803809,-22.32658867
P641,-49.20195201,-1.277551699
P643,-49.06255103,-22.34050921
P644,-49.06703983,-22.3283897
P645,-49.07131814,-22.33871743
P646,-49.06931676,-22.33418736
P648,-49.0777578,-22.3807408
P649,-49.05665888,-22.36540784
P650,-49.05610485,-22.31554397
P651,-49.05610485,-22.31554397
P652,-49.0477362,-22.33699006
P653,-49.06541195,-22.31326221
P654,-49.05873463,-22.31557548
P655,-49.05610259,-22.31486665
P656,-49.05993068,-22.32664313
P657,-49.05577716,-22.32574449
P659,-49.05822072,-22.32269439
P660,-49.05128084,-22.32255691
P661,-49.0140494,-22.31331846
P662,-49.03019991,-22.36954893
P663,-49.0417995,-22.33858
P664,-49.03191874,-22.31276878
P665,-49.06617691,-22.30458396
P666,-49.08521774,-22.30196525
